HARSID	chr	start	end	nearest_gene	chrom	chrom_start	chrom_end	overlap_bp
HARsv2_0028	chr1	44631923	44632087	RNF220	chr1	44631626	44632127	164
HARsv2_0036	chr1	53327874	53327912	LRP8	chr1	53327842	53328343	38
HARsv2_0098	chr1	88461695	88462680	LINC01364;PKN2-AS1	chr1	88462432	88462933	248
HARsv2_0110	chr1	101025244	101025714	DPH5	chr1	101025602	101026103	112
HARsv2_0214	chr1	246067538	246068248	SMYD3	chr1	246067589	246068090	501
HARsv2_0291	chr10	96513991	96514086	TLL2	chr10	96513702	96514203	95
HARsv2_0452	chr11	124746884	124747294	NRGN	chr11	124746811	124747312	410
HARsv2_0509	chr12	47759145	47759313	RAPGEF3	chr12	47758897	47759398	168
HARsv2_0542	chr12	89349788	89350164	DUSP6	chr12	89349785	89350286	376
HARsv2_0548	chr12	92363677	92363708	BTG1;CLLU1OS	chr12	92363630	92364131	31
HARsv2_0749	chr14	33792601	33792837	NPAS3	chr14	33792630	33793131	207
HARsv2_0772	chr14	47674137	47674677	MDGA2	chr14	47674352	47674853	325
HARsv2_0920	chr15	75453904	75454429	SIN3A	chr15	75453807	75454308	404
HARsv2_1065	chr16	79417759	79417772	WWOX;MAF	chr16	79417465	79417966	13
HARsv2_1313	chr2	11391805	11391826	ROCK2;LINC00570	chr2	11391523	11392024	21
HARsv2_1345	chr2	30481992	30482298	LCLAT1	chr2	30481552	30482053	61
HARsv2_1357	chr2	39609478	39609582	LOC728730;TMEM178A	chr2	39609102	39609603	104
HARsv2_1433	chr2	113890263	113890903	ACTR3	chr2	113890363	113890864	501
HARsv2_1547	chr2	189441478	189441505	WDR75	chr2	189441191	189441692	27
HARsv2_1621	chr20	675745	675937	SCRT2	chr20	675450	675951	192
HARsv2_1772	chr3	16885059	16885256	PLCL2	chr3	16884915	16885416	197
HARsv2_1896	chr3	101850776	101851106	NFKBIZ	chr3	101850663	101851164	330
HARsv2_1899	chr3	107598985	107599445	BBX	chr3	107599055	107599556	390
HARsv2_2125	chr4	123396505	123396895	SPRY1	chr4	123396472	123396973	390
HARsv2_2245	chr5	39527152	39527330	LOC101926940;LINC00603	chr5	39526676	39527177	25
HARsv2_2366	chr5	159208012	159208347	RNF145	chr5	159207849	159208350	335
HARsv2_2571	chr6	162728028	162728130	PACRG	chr6	162727529	162728030	2
HARsv2_2608	chr7	18495117	18495427	HDAC9	chr7	18495375	18495876	52
HARsv2_2749	chr8	1700999	1701704	DLGAP2	chr8	1701207	1701708	497
HARsv2_2758	chr8	11124110	11124460	XKR6	chr8	11124437	11124938	23
HARsv2_2903	chr9	272805	273130	DOCK8	chr9	272644	273145	325
HARsv2_2904	chr9	469645	470020	KANK1	chr9	469894	470395	126
HARsv2_2912	chr9	2241880	2242215	SMARCA2;VLDLR-AS1	chr9	2241712	2242213	333
HARsv2_2987	chr9	26210533	26210898	LOC100506422;CAAP1	chr9	26210232	26210733	200
HARsv2_3018	chr9	79611045	79611405	TLE4	chr9	79611278	79611779	127
